CA,2024,706,,Q01---,[1]fr(sq(3):2),2,[2]fr(1:sq(2)),2,[3]sq(3),2,[1];1;((sqrt(3))/(2)),[2];1;((1)/(sqrt(2))),[3];1;sqrt(3)
1,01AA,706,9:13:24,Q01---,[1]=  fr(sq(3):2),,[2]=  fr(1:sq(2)),,[3]=  sq(3),,[1]((sqrt(3))/(2)),[2]((1)/(sqrt(2))),[3]sqrt(3)
2,02BB,706,10:3:58,Q01---,[1]=  fr(sq(3):2),,[2]=  fr(1:sq(2)),,[3]=  sq(3),,[1]((sqrt(3))/(2)),[2]((1)/(sqrt(2))),[3]sqrt(3)
3,03CC,706,9:16:59,Q01---,[1]=  fr(sq(3):2),,[2]=  fr(sq(2):2),,[3]=  sq(3),,[1]((sqrt(3))/(2)),[2]((sqrt(2))/(2)),[3]sqrt(3)
4,04DD,706,9:36:36,Q01---,[1]=  fr(sq(3):2),,[2]=  fr(1:sq(2)),,[3]=  fr(sq(3):2),,[1]((sqrt(3))/(2)),[2]((1)/(sqrt(2))),[3]((sqrt(3))/(2))
5,05EE,706,9:11:6,Q01---,[1]=  fr(sq(3):2),,[2]=  fr(1:sq(2)),,[3]=  sq(3),,[1]((sqrt(3))/(2)),[2]((1)/(sqrt(2))),[3]sqrt(3)
6,06FF,,,Q01---,[1]na,0,[2]na,0,[3]na,0,[1]na,[2]na,[3]na
7,07GG,,,Q01---,[1]na,0,[2]na,0,[3]na,0,[1]na,[2]na,[3]na
8,08HH,,,Q01---,[1]na,0,[2]na,0,[3]na,0,[1]na,[2]na,[3]na
9,09II,,,Q01---,[1]na,0,[2]na,0,[3]na,0,[1]na,[2]na,[3]na
10,10JJ,,,Q01---,[1]na,0,[2]na,0,[3]na,0,[1]na,[2]na,[3]na
