CA,2024,0706,,Q02---,[1]sin(x),5,[2]-cos(x),5,[1];1;sin(x),[2];1;-cos(x),
1,01AA,0706,9:40:14,Q02---,[1]sin(pi-x)=   sin(x),,[2]cos(pi-x)=  -cos(x),,[1]sin(x),[2]-cos(x),
2,02BB,0706,9:36:14,Q02---,[1]sin(pi-x)=   sin(x),,[2]cos(pi-x)=  -cos(x),,[1]sin(x),[2]-cos(x),
3,03CC,0706,9:36:53,Q02---,[1]sin(pi-x)=   sin(x),,[2]cos(pi-x)=  -cos(x),,[1]sin(x),[2]-cos(x),
4,04DD,0706,9:47:45,Q02---,[1]sin(pi-x)=   sin(x),,[2]cos(pi-x)=  -cos(x),,[1]sin(x),[2]-cos(x),
5,05EE,0706,9:39:15,Q02---,[1]sin(pi-x)=   sin(x),,[2]cos(pi-x)=  -cos(x),,[1]sin(x),[2]-cos(x),
6,06FF,,,Q02---,[1]na,0,[2]na,0,[1]na,[2]na,
7,07GG,,,Q02---,[1]na,0,[2]na,0,[1]na,[2]na,
8,08HH,,,Q02---,[1]na,0,[2]na,0,[1]na,[2]na,
9,09II,,,Q02---,[1]na,0,[2]na,0,[1]na,[2]na,
10,10JJ,,,Q02---,[1]na,0,[2]na,0,[1]na,[2]na,
11,11KK,,,Q02---,[1]na,0,[2]na,0,[1]na,[2]na,
12,12LL,,,Q02---,[1]na,0,[2]na,0,[1]na,[2]na,
13,13MM,,,Q02---,[1]na,0,[2]na,0,[1]na,[2]na,
14,14NN,,,Q02---,[1]na,0,[2]na,0,[1]na,[2]na,
15,15OO,,,Q02---,[1]na,0,[2]na,0,[1]na,[2]na,
16,16PP,,,Q02---,[1]na,0,[2]na,0,[1]na,[2]na,
17,17QQ,,,Q02---,[1]na,0,[2]na,0,[1]na,[2]na,
18,18RR,,,Q02---,[1]na,0,[2]na,0,[1]na,[2]na,
19,19SS,,,Q02---,[1]na,0,[2]na,0,[1]na,[2]na,
20,20TT,,,Q02---,[1]na,0,[2]na,0,[1]na,[2]na,
