CA,2024,0706,,Q05---,[1]y = x^2 + 1,0,[2]上に1平行移動,2,[3]y = (x − 2)^2,0,[4]右に2平行移動,2,[1];1;y=x^2+1,[2];1;上に1平行移動,[3];1;y=(x−2)^2,[4];1;右に2平行移動,
1,01AA,0706,9:57:46,Q05---,[1]y=x^(2)+1,,[2]上に1移動,,[3]y=(x-2)^(2),,[4]右に2移動,,[1]x^(2)+1,[2]上に1移動,[3](x-2)^(2),[4]右に2移動,
2,02BB,0706,9:53:42,Q05---,[1]y=x^(2)+1,,[2]y軸方向の正の方に1移動する,,[3]y=(x-2)^(2),,[4]x軸の正方向に2だけ移動する,,[1]x^(2)+1,[2]y軸方向の正の方に1移動する,[3](x-2)^(2),[4]x軸の正方向に2だけ移動する,
3,03CC,0706,9:52:32,Q05---,[1]y=x^(2)+1,,[2]y軸方向へ1だけ平行移動した。,,[3]y=,,[4],,[1]x^(2)+1,[2]y軸方向へ1だけ平行移動した。,[3],[4],
4,04DD,,,Q05---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[1]na,[2]na,[3]na,[4]na,
5,05EE,0706,9:49:54,Q05---,[1]y=x^(2)+1,,[2]y軸方向に1平行移動した．,,[3]y=(x-2)^(2),,[4]x軸方向に2平行移動した．,,[1]x^(2)+1,[2]y軸方向に1平行移動した．,[3](x-2)^(2),[4]x軸方向に2平行移動した．,
6,06FF,,,Q05---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[1]na,[2]na,[3]na,[4]na,
7,07GG,,,Q05---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[1]na,[2]na,[3]na,[4]na,
8,08HH,,,Q05---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[1]na,[2]na,[3]na,[4]na,
9,09II,,,Q05---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[1]na,[2]na,[3]na,[4]na,
10,10JJ,,,Q05---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[1]na,[2]na,[3]na,[4]na,
11,11KK,,,Q05---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[1]na,[2]na,[3]na,[4]na,
12,12LL,,,Q05---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[1]na,[2]na,[3]na,[4]na,
13,13MM,,,Q05---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[1]na,[2]na,[3]na,[4]na,
14,14NN,,,Q05---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[1]na,[2]na,[3]na,[4]na,
15,15OO,,,Q05---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[1]na,[2]na,[3]na,[4]na,
16,16PP,,,Q05---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[1]na,[2]na,[3]na,[4]na,
17,17QQ,,,Q05---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[1]na,[2]na,[3]na,[4]na,
18,18RR,,,Q05---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[1]na,[2]na,[3]na,[4]na,
19,19SS,,,Q05---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[1]na,[2]na,[3]na,[4]na,
20,20TT,,,Q05---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[1]na,[2]na,[3]na,[4]na,
