,,,Q01,,Q02,,Q03,,Q04,,Q05,,,
,,,PCとOS,,TeX,,R/sumatra,,Cinderella,,KeTCindy,,,
,,,[1],[2],[1],[2],[1],[2],[1],[2],[1],[2],,
1,01AH20011,未提出=3,,,,,2,*3, ,,2,*5,,*3 インストール完了 *5 おそらく動作確認できている
2,02AH20027,完了=11:52:5,w,11,3,,3,,3,,3,,,
3,03AH20029,完了=06112:45:51,w,10,3,,3,,3,,3,,,
4,04AH20030,未提出=5,,,,,,,,,,,未提出,
5,05AH20040,完了=11:58:55,w,11,3,,3,,3,,1,*5, ,*5 山浦さんと同じような状態です
6,06AH20054,完了=060916:50:3,w,11,3,,3,,3,,3,,,
7,07AH20063,未提出=2,w,11,3,,1,*3, ,,,,未確認,*3 今インストールしている
8,08AH20074,完了=060913:1:12,w,11,3,,3,,3,,2,,未完了,
9,09AH20075,完了=11:54:0,w,11,3,,3,,3,,3,,,
10,10BV20073,未提出=5,w,11,,,,,,,,,未提出,
11,11MF22128,完了=11:52:43,w,10,3,,2,*3,3,,2,*5,未完了,*3 Figureを押してもPDF化されない *5三角形の図とその周りの白い枠線が出てこない
12,12MH22006,未提出=5,,,,,,,,,,,未提出,
13,13MH22010,完了=11:51:55,m,M,3,,3,,3,,3,,,
14,14MC23003,完了=11:52:40,w,10,3,,3,,3,,3,,,
15,15MC23038,完了=11:52:28,w,11,3,,3,,3,,3,,,
16,16MC23044,完了=11:53:11,m,V,1,*3,3,,3,,3,,,*3 TeX Liveをインストール
17,17MA23159,完了=11:45:0,w,10,3,,3,,3,,3,,,
18,18MA23160,完了=12:0:46,w,11,3,,3,,3,,3,,,
19,19MF23039,完了=11:52:7,m,M,3,,3,,3,,3,,,
20,20MH23004,完了=2306206:18:52,w,11,3,,3,,3,,3,,,
21,21MH23005,未提出=2,w,11,2,*3, ,,2,*4, ,,未完了,メールあり *3 おそらくできている？ *4 ダウンロードは完了しているが、開いてUPDateのところを押してもうまくいかない
22,22MH23006,未提出=1,w,11,3,,3,,3,,,,,
23,23MH23007,完了=060812:0:49,w,11,3,,3,,3,,3,,,
24,24MH23010,完了=11:52:34,w,11,3,,3,,3,,3,,,
25,25MH23011,完了=11:52:18,w,11,3,,3,,3,,3,,,
26,26MH23012,完了=061014:6:11,w,,3,,3,,3,,3,,,
27,27MH23013,完了=060916:47:36,w,11,3,,3,,3,,3,,,
28,28MH23014,完了=11:51:55,m,V,3,,3,,3,,3,,,
29,29MH23015,未提出=1,w,,3,,3,,2,*4, ,,未完了,*4 windowsC:に移してハイフンを消してインストールまでできたのですが正常に動作しませんでした
30,30MH23016,完了=11:52:1,w,11,3,,3,,3,,3,,,
31,31MH23017,完了=11:59:16,w,11,3,,3,,3,,3,,,
32,32MH23018,完了=11:53:13,w,10,3,,3,,3,,3,,,
33,33MH23019,未提出=1,w,,3,,3,,,,3,,,
34,34MH23020,完了=11:53:5,w,10,3,,3,,3,,3,,,
35,35MH23022,完了=11:52:1,w,10,3,,3,,3,,3,,,
36,36MH23023,完了=11:52:40,w,11,3,,1,*3,3,,3,,,*3 まだインストールに取り掛かっていない
37,37MH23024,完了=11:52:39,w,11,3,,3,,3,,3,,,
38,38MH23026,未提出=5,,,,,,,,,,,未提出,
39,39MH23027,完了=11:52:8,w,,2,,3,,3,,3,,,
40,40MH23028,未提出=5,,,,,,,,,,,未提出,
41,41MH23029,完了=11:52:20,w,11,2,*2,3,,3,,3,,,*2 動作確認でpdf化する際、最後にkc.batをクリックしないと表示されない
42,42MH23031,完了=11:52:35,w,10,3,,3,,3,,3,,,
