,,,Q01,,Q01,,Q01,,Q04,,
,,,[1],[2],[1],[2],[1],[2],[1],[2],[3]
1,01AH20011,完了=12:20:58,0,0,0,0,0,0,0,0,0
2,02AH20027,完了=12:51:8,0,0,0,0,0,0,0,0,0
3,03AH20029,完了=12:21:15,0,0,0,0,0,0,0,0,0
4,04AH20030,完了=13:15:16,0,0,0,0,0,0,0,0,0
5,05AH20040,完了=12:18:53,0,0,0,0,0,0,0,0,0
6,06AH20054,未提出=2,0,0,,,,,0,0,0
7,07AH20063,未提出=3,0,0,,,,,,,
8,08AH20074,完了=12:25:14,0,0,0,0,0,0,0,0,0
9,09AH20075,完了=12:24:33,0,0,0,0,0,0,0,0,0
10,10BV20073,未提出=4,,,,,,,,,
11,11MF22128,完了=12:21:27,0,0,0,0,0,0,0,0,0
12,12MH22006,未提出=1,0,0,0,0,0,0,0,,
13,13MH22010,完了=12:29:37,0,0,0,0,0,0,0,0,0
14,14MC23003,完了=12:21:40,0,0,0,0,0,0,0,0,0
15,15MC23038,未提出=4,,,,,,,,,
16,16MC23044,完了=12:21:21,0,0,0,0,0,0,0,0,0
17,17MA23159,完了=12:10:0,0,0,0,0,0,0,0,0,0
18,18MA23160,完了=12:18:28,0,0,0,0,0,0,0,0,0
19,19MF23039,完了=12:18:20,0,0,0,0,0,0,0,0,0
20,20MH23004,未提出=1,0,0,,,0,0,0,0,0
21,21MH23005,完了=12:17:11,0,0,0,0,0,0,0,0,0
22,22MH23006,完了=13:5:18,0,0,0,0,0,0,0,0,0
23,23MH23007,未提出=4,,,,,,,,,
24,24MH23010,完了=12:19:6,0,0,0,0,0,0,0,0,0
25,25MH23011,完了=12:18:54,0,0,0,0,0,0,0,0,0
26,26MH23012,未提出=1,,,0,0,0,0,0,0,0
27,27MH23013,完了=12:18:16,0,0,0,0,0,0,0,0,0
28,28MH23014,完了=12:23:35,0,0,0,0,0,0,0,0,0
29,29MH23015,完了=12:19:51,0,0,0,0,0,0,0,0,0
30,30MH23016,未提出=4,,,,,,,,,
31,31MH23017,完了=12:18:31,0,0,0,0,0,0,0,0,0
32,32MH23018,完了=12:21:32,0,0,0,0,0,0,0,0,0
33,33MH23019,完了=12:19:23,0,0,0,0,0,0,0,0,0
34,34MH23020,完了=12:19:39,0,0,0,0,0,0,0,0,0
35,35MH23022,未提出=1,0,0,0,0,0,0,0,,
36,36MH23023,完了=12:19:6,0,0,0,0,0,0,0,0,0
37,37MH23024,完了=12:20:51,0,0,0,0,0,0,0,0,0
38,38MH23026,未提出=4,,,,,,,,,
39,39MH23027,未提出=4,,,,,,,,,
40,40MH23028,未提出=4,,,,,,,,,
41,41MH23029,完了=12:21:5,0,0,0,0,0,0,0,0,0
42,42MH23031,未提出=1,0,0,0,0,0,0,0,,
43,43BV21004,未提出=4,,,,,,,,,
