CA,,,,,[1],0,[2],0,[3],0,[4],0,[5],0,[6],0,[1];1;,[2];1;,[3];1;,[4];1;,[5];1;,[6];1;,
1,0001AC,0508,11:44:47,Q01---,[1]=  1,,[2]=  3,,[3]=  不明,,[4]=  3,,[5]=  不明,,[6]=  2,,[1]=1,[2]=3,[3]=不明,[4]=3,[5]=不明,[6]=2,
2,0005AH,0508,11:48:20,Q01---,[1]=  1,,[2]=  3,,[3]=  インストールしていない,,[4]=  3,,[5]=  インストールしていない,,[6]=  2,,[1]=1,[2]=3,[3]=インストールしていない,[4]=3,[5]=インストールしていない,[6]=2,
3,0013AH,0508,11:45:51,Q01---,[1]=  1,,[2]=  3,,[3]=  ダウンロード方法を確認していない,,[4]=  3,,[5]=  ダウンロード方法を確認していない,,[6]=  2,,[1]=1,[2]=3,[3]=ダウンロード方法を確認していない,[4]=3,[5]=ダウンロード方法を確認していない,[6]=2,
4,0028AH,0508,11:21:56,Q01---,[1]=  1,,[2]=  1,,[3]= まだ開いていない,,[4]=  1,,[5]=  まだ開いていない,,[6]=  1,,[1]=1,[2]=1,[3]=まだ開いていない,[4]=1,[5]=まだ開いていない,[6]=1,
5,0034AH,0508,11:45:12,Q01---,[1]=  2,,[2]=  3,,[3]=  まだインストールしてない,,[4]=  3,,[5]=  まだインストールしてない,,[6]=  2,,[1]=2,[2]=3,[3]=まだインストールしてない,[4]=3,[5]=まだインストールしてない,[6]=2,
6,0047AH,0508,11:48:24,Q01---,[1]=  1,,[2]=  2,,[3]=  立ち上がらない,,[4]=  1,,[5]=  動いた,,[6]=  1,,[1]=1,[2]=2,[3]=立ち上がらない,[4]=1,[5]=動いた,[6]=1,
7,0048AH,0508,11:45:52,Q01---,[1]=  1,,[2]=  3,,[3]=  立ち上がらない,,[4]=  3,,[5]=  立ち上がらない,,[6]=  2,,[1]=1,[2]=3,[3]=立ち上がらない,[4]=3,[5]=立ち上がらない,[6]=2,
8,0050AH,0508,11:45:17,Q01---,[1]=  1,,[2]=  3,,[3]=,,[4]=  3,,[5]=,,[6]=  2,,[1]=1,[2]=3,[3]=,[4]=3,[5]=,[6]=2,
9,0055AH,0508,11:46:37,Q01---,[1]=  1,,[2]=  1,,[3]=  動いた,,[4]=  1,,[5]=  動いた,,[6]=  1,,[1]=1,[2]=1,[3]=動いた,[4]=1,[5]=動いた,[6]=1,
10,0059AH,0508,11:17:30,Q01---,[1]=  1,,[2]=  2,,[3]=  動かしてはいない,,[4]=  2,,[5]=  動かしてはいない,,[6]=  1,,[1]=1,[2]=2,[3]=動かしてはいない,[4]=2,[5]=動かしてはいない,[6]=1,
11,0061AH,0508,11:44:44,Q01---,[1]=  １,,[2]=  ３,,[3]=  インストールしていない,,[4]=  ３,,[5]=  インストールしていない,,[6]=  ３,,[1]=１,[2]=３,[3]=インストールしていない,[4]=３,[5]=インストールしていない,[6]=３,
12,0064AH,0508,11:38:49,Q01---,[1]=  1,,[2]=  1,,[3]=  動いた,,[4]=  1,,[5]=  動いた,,[6]=  1,,[1]=1,[2]=1,[3]=動いた,[4]=1,[5]=動いた,[6]=1,
13,0070AH,0508,11:17:39,Q01---,[1]=  1,,[2]=  3,,[3]=  インストールができない,,[4]=  3,,[5]=  インストールができない,,[6]=  2,,[1]=1,[2]=3,[3]=インストールができない,[4]=3,[5]=インストールができない,[6]=2,
14,0084AH,0508,11:19:49,Q01---,[1]=  1,,[2]=  1,,[3]=  動作確認をしていない,,[4]=  1,,[5]=  動作確認をしていない,,[6]=  1,,[1]=1,[2]=1,[3]=動作確認をしていない,[4]=1,[5]=動作確認をしていない,[6]=1,
15,0085AH,0508,11:45:20,Q01---,[1]=  1,,[2]=  3,,[3]=  動かしていない,,[4]=  3,,[5]=  動かしていない,,[6]=  1,,[1]=1,[2]=3,[3]=動かしていない,[4]=3,[5]=動かしていない,[6]=1,
16,0086AH,0508,11:36:11,Q01---,[1]=  1,,[2]=  3,,[3]=  インストールできない,,[4]=  3,,[5]=  インストールできない,,[6]=  2,,[1]=1,[2]=3,[3]=インストールできない,[4]=3,[5]=インストールできない,[6]=2,
17,0088AH,0508,11:20:48,Q01---,[1]=  1,,[2]=  3,,[3]=  インストールしていない,,[4]=  3,,[5]=  インストールしていない,,[6]=  2,,[1]=1,[2]=3,[3]=インストールしていない,[4]=3,[5]=インストールしていない,[6]=2,
18,0089AH,0508,11:45:31,Q01---,[1]=  2,,[2]=  3,,[3]=  インストールの仕方がわからない,,[4]=  3,,[5]=インストールの仕方がわからない,,[6]=  2,,[1]=2,[2]=3,[3]=インストールの仕方がわからない,[4]=3,[5]=インストールの仕方がわからない,[6]=2,
19,0090AH,,,,[1] na,0,[2] na,0,[3] na,0,[4] na,0,[5] na,0,[6] na,0,
20,0091AH,0508,11:46:8,Q01---,[1]=  1,,[2]=  3,,[3]=  インストール方法がわからない,,[4]=  3,,[5]=  インストール方法がわからない,,[6]=  2,,[1]=1,[2]=3,[3]=インストール方法がわからない,[4]=3,[5]=インストール方法がわからない,[6]=2,
21,0092AH,0508,11:20:56,Q01---,[1]=  1,,[2]=  3,,[3]=  ダウンロードしていない,,[4]=  3,,[5]=  ダウンロードしていない,,[6]=  2,,[1]=1,[2]=3,[3]=ダウンロードしていない,[4]=3,[5]=ダウンロードしていない,[6]=2,
22,0098AH,0508,11:45:14,Q01---,[1]=  1,,[2]=  3,,[3]=  インストールしていない,,[4]=  ３,,[5]=  インストールしていない,,[6]=  ２,,[1]=1,[2]=3,[3]=インストールしていない,[4]=３,[5]=インストールしていない,[6]=２,
23,0099AH,0508,11:45:2,Q01---,[1]=  1,,[2]=  3,,[3]=  まだインストールできていない,,[4]=  3,,[5]=  まだインストールできていない,,[6]=  2,,[1]=1,[2]=3,[3]=まだインストールできていない,[4]=3,[5]=まだインストールできていない,[6]=2,
24,0102AH,0508,11:45:51,Q01---,[1]=  1,,[2]=  3,,[3]=  インストールができない,,[4]=  3,,[5]=  インストールができない,,[6]=  2,,[1]=1,[2]=3,[3]=インストールができない,[4]=3,[5]=インストールができない,[6]=2,
25,1003AH,0508,11:51:0,Q01---,[1]=  1,,[2]=  3,,[3]=  未インストール,,[4]=  3,,[5]=  未インストール,,[6]=  2,,[1]=1,[2]=3,[3]=未インストール,[4]=3,[5]=未インストール,[6]=2,
26,3002MH,,,,[1] na,0,[2] na,0,[3] na,0,[4] na,0,[5] na,0,[6] na,0,
27,1006AH,0508,11:25:46,Q01---,[1]=  1,,[2]=  3,,[3]=  インストールできない,,[4]=  3,,[5]=  インストールできない,,[6]=  2,,[1]=1,[2]=3,[3]=インストールできない,[4]=3,[5]=インストールできない,[6]=2,
28,1054AH,0508,11:37:31,Q01---,[1]=  1,,[2]=  1,,[3]=  動かしていない,,[4]=  1,,[5]=  動かしていない,,[6]=  1,,[1]=1,[2]=1,[3]=動かしていない,[4]=1,[5]=動かしていない,[6]=1,
29,1100AH,0508,11:46:0,Q01---,[1]=  1,,[2]=  3,,[3]=  インストール方法がわからない,,[4]=  3,,[5]=  インストール方法がわからない,,[6]=  2,,[1]=1,[2]=3,[3]=インストール方法がわからない,[4]=3,[5]=インストール方法がわからない,[6]=2,
30,0029BN,0508,14:31:46,Q01---,[1]=  1,,[2]=  3,,[3]=,,[4]=  3,,[5]=,,[6]=  2,,[1]=1,[2]=3,[3]=,[4]=3,[5]=,[6]=2,
31,1004BN,0508,11:46:31,Q01---,[1]=  1,,[2]=  3,,[3]=  インストール方法がわからない。,,[4]=  3,,[5]=,,[6]=  インストールが済んでいない。,,[1]=1,[2]=3,[3]=インストール方法がわからない。,[4]=3,[5]=,[6]=インストールが済んでいない。,
32,1061BN,,,,[1] na,0,[2] na,0,[3] na,0,[4] na,0,[5] na,0,[6] na,0,
