CA,,,,,[1] fr(1+4:3),2,[2] a+fr(b:c)+d,2,[3] fr(sq(2):2),2,[4] pirˆ(2),2,[1]((1+4)/(3)),[2]a+((b)/(c))+d,[3]((sqrt(2))/(2)),[4]%pi*rˆ(2)
1,0001AC,508,12:23:54,Q02---,[1]  fr(1+4:3),0,[2]  a+b/c+d,,[3]  sq(2)/2,,[4]  pir^(2),,[1]((1+4)/(3)),[2]a+b/c+d,[3]sqrt(2)/2,[4]%pi*r^(2)
2,0005AH,508,12:13:3,Q02---,[1]  fr(1+4:3),0,[2]  a+fr(b:c)+d,,[3]  fr(sq(2):2),,[4]  pir^(2),,[1]((1+4)/(3)),[2]a+((b)/(c))+d,[3]((sqrt(2))/(2)),[4]%pi*r^(2)
3,0013AH,508,12:18:5,Q02---,[1]fr(1+4:3),0,[2]a+b/c+d,,[3]sq(2)/2,,[4]　pir^(2),,[1]((1+4)/(3)),[2]a+b/c+d,[3]sqrt(2)/2,[4]　%pi*r^(2)
4,0028AH,508,12:12:1,Q02---,[1]  fr(1+4:3),0,[2]  a+fr(b:c)+d,,[3]  fr(sq(2):2),,[4]  pi(cross)pi,,[1]((1+4)/(3)),[2]a+((b)/(c))+d,[3]((sqrt(2))/(2)),[4]%pi*%pi
5,0034AH,508,12:11:6,Q02---,[1]  fr(1+4:3),0,[2]  a+fr(b:c)+d,,[3]  fr(sq(2):2),,[4]  pir^(2),,[1]((1+4)/(3)),[2]a+((b)/(c))+d,[3]((sqrt(2))/(2)),[4]%pi*r^(2)
6,0047AH,508,12:12:48,Q02---,[1]fr(1+4:3),0,[2]  a+fr(b:c)+d,,[3]  fr(sq(2):2),,[4]  pir^(2),,[1]((1+4)/(3)),[2]a+((b)/(c))+d,[3]((sqrt(2))/(2)),[4]%pi*r^(2)
7,0048AH,508,12:46:2,Q02---,[1]  fr(1+4:3),0,[2]  a+fr(b:c)+d,,[3]  fr(sq(2):2),,[4]  pir^(2),,[1]((1+4)/(3)),[2]a+((b)/(c))+d,[3]((sqrt(2))/(2)),[4]%pi*r^(2)
8,0050AH,508,12:15:52,Q02---,[1]  fr(4:3)+1,0,[2]  a+fr(b:c)+d,,[3]  fr(sq(2):2),,[4]pir^(2),,[1]((4)/(3))+1,[2]a+((b)/(c))+d,[3]((sqrt(2))/(2)),[4]%pi*r^(2)
9,0055AH,508,12:10:23,Q02---,[1]  fr(1+4:3),0,[2]  a+fr(b:c)+d,,[3]  fr(sq(2):2),,[4]  pir^(2),,[1]((1+4)/(3)),[2]a+((b)/(c))+d,[3]((sqrt(2))/(2)),[4]%pi*r^(2)
10,0059AH,508,12:10:58,Q02---,[1]  fr(1+4:3),0,[2]  a+fr(b:c)+d,,[3]  sq(2)/2,,[4]  pir^(2)8,,[1]((1+4)/(3)),[2]a+((b)/(c))+d,[3]sqrt(2)/2,[4]%pi*r^(2)*8
11,0061AH,508,12:12:54,Q02---,[1]  fr(1+4:3),0,[2]  a+fr(b:c)+d,,[3]  fr(sq(2):2),,[4]  pir^(2),,[1]((1+4)/(3)),[2]a+((b)/(c))+d,[3]((sqrt(2))/(2)),[4]%pi*r^(2)
