CA,,,,,[1] -fr(3:5),2,[2] fr(xy:x+y),2,[3] sq(3)-sq(2),2,[4] fr(pi:2),2,[1];1;-((3)/(5)),[2];1;((x*y)/(x+y)),[3];1;sqrt(3)-sqrt(2),[4];1;((%pi)/(2)),
1,0001AC,0508,12:32:3,Q03---,[1]  {-\dfrac{3}{5}},0,[2]  {\dfrac{xy}{x+y}},,[3]  {}sq(3)-sq(2),,[4]  {\dfrac{pi}{2}},,[1]-\d*f*r*a*c3}5}},[2]\d*f*r*a*cx*y}x+y}},[3]sqrt(3)-s*q*r*t}(2),[4]\dfrac%pi}2}},
2,0005AH,0508,12:21:28,Q03---,[1]  {-fr(3:5)},0,[2]  fr(xy:x+y),,[3]  sq(3)-sq(2),,[4]  fr(pi:2),,[1]-((3)/(5)),[2]((x*y)/(x+y)),[3]sqrt(3)-sqrt(2),[4]((%pi)/(2)),
3,0013AH,0508,12:27:57,Q03---,[1]  -fr(3:5),0,[2]fr(xy:x+y),,[3]  sq({3})-sq(2),,[4]  fr(pi:2),,[1]-((3)/(5)),[2]((x*y)/(x+y)),[3]sqrt(3)-s*q*r*t}(2),[4]((%pi)/(2)),
4,0028AH,0508,15:1:56,Q03---,[1]  -fr(3:5),0,[2]  fr(xy:x+y),,[3]  sq(3)-sq(2),,[4]fr(pi:2),,[1]-((3)/(5)),[2]((x*y)/(x+y)),[3]sqrt(3)-sqrt(2),[4]((%pi)/(2)),
5,0034AH,0508,12:14:8,Q03---,[1]  -fr(3:5),0,[2]  fr(xy:x+y),,[3]  sq(3)-sq(2),,[4]  fr(pi:2),,[1]-((3)/(5)),[2]((x*y)/(x+y)),[3]sqrt(3)-sqrt(2),[4]((%pi)/(2)),
6,0047AH,0508,12:20:45,Q03---,[1] -fr(3:5),0,[2] fr(xy:x+y),,[3]  sq(3)-sq(2),,[4]  fr(pi:2),,[1]-((3)/(5)),[2]((x*y)/(x+y)),[3]sqrt(3)-sqrt(2),[4]((%pi)/(2)),
7,0048AH,0508,12:48:45,Q03---,[1]  -fr(3:5),0,[2]  fr(xy:x+y),,[3]  sq(3)-sq(2),,[4]  fr(pi:2),,[1]-((3)/(5)),[2]((x*y)/(x+y)),[3]sqrt(3)-sqrt(2),[4]((%pi)/(2)),
8,0050AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[1]na,[2]na,[3]na,[4]na,
9,0055AH,0508,12:12:28,Q03---,[1]  -fr(3:5),0,[2]  fr(xy:x+y),,[3]  sq(3)-sq(2),,[4]  fr(pi:2),,[1]-((3)/(5)),[2]((x*y)/(x+y)),[3]sqrt(3)-sqrt(2),[4]((%pi)/(2)),
10,0059AH,0508,12:12:36,Q03---,[1]   {-\dfrac{3}{5}},0,[2]   {\dfrac{xy}{x+y}},,[3]  {\sqrt{3}-\sqrt{2}},,[4]  {\dfrac{pi}{2}},,[1]-\d*f*r*a*c3}5}},[2]\d*f*r*a*cx*y}x+y}},[3]\s*q*r*t3}-\s*q*r*t2}},[4]\dfrac%pi}2}},
11,0061AH,0508,12:21:49,Q03---,-fr(3:5),0,,[3]  sq(3)-sq(2),,[4]  fr(pi:2),,-((3)/(5)),,,,
12,0064AH,0508,12:17:42,Q03---,[1]  {-\dfrac{3}{5}},0,[2]  {\dfrac{xy}{x+y}},,[3]  {\sqrt{3}-\sqrt{2}},,[4]  {\dfrac{pi}{2}},,[1]-\d*f*r*a*c3}5}},[2]\d*f*r*a*cx*y}x+y}},[3]\s*q*r*t3}-\s*q*r*t2}},[4]\dfrac%pi}2}},
13,0070AH,0508,12:14:59,Q03---,[1] -fr(3:5),0,[2]  fr(xy:x+y),,[3]  sq(3)-sq(2),,[4]  fr(pi:2),,[1]-((3)/(5)),[2]((x*y)/(x+y)),[3]sqrt(3)-sqrt(2),[4]((%pi)/(2)),
14,0084AH,0508,12:20:7,Q03---,[1]  -fr(3:5),0,[2]  fr(xy:x+y),,[3]  sq(3)-sq(2),,[4]  fr(pi:2),,[1]-((3)/(5)),[2]((x*y)/(x+y)),[3]sqrt(3)-sqrt(2),[4]((%pi)/(2)),
15,0085AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[1]na,[2]na,[3]na,[4]na,
16,0086AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[1]na,[2]na,[3]na,[4]na,
17,0088AH,0508,12:34:26,Q03---,[1]  -fr(3:5),0,[2]  fr(xy:x+y),,[3]  sq(3)-sq(2),,[4]  fr(pi:2),,[1]-((3)/(5)),[2]((x*y)/(x+y)),[3]sqrt(3)-sqrt(2),[4]((%pi)/(2)),
18,0089AH,0508,12:12:50,Q03---,[1]-fr(3:5),0,[2]  fr(xy:x+y),,[3]  sq(3)-sq(2),,[4]  fr(pi:2),,[1]-((3)/(5)),[2]((x*y)/(x+y)),[3]sqrt(3)-sqrt(2),[4]((%pi)/(2)),
19,0090AH,0508,12:14:6,Q03---,[1]-fr(3:5),0,[2]  fr(xy:x+y),,[3]  sq(3)-sq(2),,[4]  fr(pi:2),,[1]-((3)/(5)),[2]((x*y)/(x+y)),[3]sqrt(3)-sqrt(2),[4]((%pi)/(2)),
20,0091AH,0508,12:13:35,Q03---,[1]  -fr(3:5),0,[2]  fr(xy:x+y),,[3]  sq(3)-sq(2),,[4]  fr(pi:2),,[1]-((3)/(5)),[2]((x*y)/(x+y)),[3]sqrt(3)-sqrt(2),[4]((%pi)/(2)),
21,0092AH,0508,12:13:14,Q03---,[1]  -fr(3:5),0,[2]  fr(xy:x+y),,[3]  sq(3)-sq(2),,[4]  fr(pi:2),,[1]-((3)/(5)),[2]((x*y)/(x+y)),[3]sqrt(3)-sqrt(2),[4]((%pi)/(2)),
