CA,,,,,[1] 2x^2+3x+1,2,[2],2,[3],2,[4] sin(x)+cos(x),2,[1];1;2*x^2+3*x+1,[2];1;,[3];1;,[4];1;sin(x)+cos(x),
1,0001AC,0508,12:38:10,Q04---,[1]  {2x^2+3x+1},0,[2]0},,[3]\dfrac{sq(3)}{3}},,[4]  {sin(x)+cos(x)},,[1]2*x^2+3*x+1},[2]0},[3]\d*f*r*a*c*sqrt(3)}3}},[4]sin(x)+cos(x)},
2,0005AH,0508,12:24:35,Q04---,[1]  2x^(2)+3x+1,0,[2]0,,[3]fr(sq(3):3),,[4]  sin(x)+cos(x),,[1]2*x^(2)+3*x+1,[2]0,[3]((sqrt(3))/(3)),[4]sin(x)+cos(x),
3,0013AH,0508,12:35:59,Q04---,[1]  2x^(2)+3x+1,0,[2]0,,[3]fr(sq(3):3),,[4]  sin(x)+cos(x),,[1]2*x^(2)+3*x+1,[2]0,[3]((sqrt(3))/(3)),[4]sin(x)+cos(x),
4,0028AH,0508,15:6:20,Q04---,[1]  2x^(2)+3x+1,0,[2]0,,[3]fr(sq(3):3),,[4]  sin(x)+cos(x),,[1]2*x^(2)+3*x+1,[2]0,[3]((sqrt(3))/(3)),[4]sin(x)+cos(x),
5,0034AH,0508,12:16:29,Q04---,[1]  2x^(2)+3x+1,0,[2]0,,[3]fr(sq(3):3),,[4]  sin(x)+cos(x),,[1]2*x^(2)+3*x+1,[2]0,[3]((sqrt(3))/(3)),[4]sin(x)+cos(x),
6,0047AH,0508,12:23:11,Q04---,[1]  2x^(2)+3x+1,0,[2]0,,[3]fr(sq(3):3),,[4]  sin(x)+cos(x),,[1]2*x^(2)+3*x+1,[2]0,[3]((sqrt(3))/(3)),[4]sin(x)+cos(x),
7,0048AH,0508,12:51:49,Q04---,[1]  2x^(2)+3x+1,0,[2]0,,[3]fr(sq(3):3),,[4]  sin(x)+cos(x),,[1]2*x^(2)+3*x+1,[2]0,[3]((sqrt(3))/(3)),[4]sin(x)+cos(x),
8,0050AH,0508,12:22:59,Q04---,[1]  2x^(2)+3x+1,0,[2]0,,[3]fr(sq(3):3),,[4]  sin(x)+cos(x),,[1]2*x^(2)+3*x+1,[2]0,[3]((sqrt(3))/(3)),[4]sin(x)+cos(x),
9,0055AH,0508,12:15:13,Q04---,[1]  2x^(2)+3x+1,0,[2]  3*x-4,,[3]fr(sq(3):3),,[4]  sin(x)+cos(x),,[1]2*x^(2)+3*x+1,[2]3*x-4,[3]((sqrt(3))/(3)),[4]sin(x)+cos(x),
10,0059AH,0508,12:14:4,Q04---,[1]  {2x^2+3x+1},0,[2]0},,[3]\dfrac{\sqrt{3}}{3}},,[4]  {\sin x+\cos x},,[1]2*x^2+3*x+1},[2]0},[3]\d*f*r*a*c\s*q*r*t3}}3}},[4]\s*i*n*x+\c*o*s*x},
11,0061AH,0508,12:28:23,Q04---,[1]  2x^2+3x+1,0,[2]fr(4:3),,[3]fr(sq(3):3),,[4]  sin(x)+cos(x),,[1]2*x^2+3*x+1,[2]((4)/(3)),[3]((sqrt(3))/(3)),[4]sin(x)+cos(x),
12,0064AH,0508,12:23:40,Q04---,[1]  {2x^(2)+3x+1},0,[2]0},,[3]\dfrac{\sqrt{3}}{3}},,[4]  sin(x)+cos(x),,[1]2*x^(2)+3*x+1},[2]0},[3]\d*f*r*a*c\s*q*r*t3}}3}},[4]sin(x)+cos(x),
13,0070AH,0508,12:18:8,Q04---,[1]  2x^(2)+3x+1,0,[2]0,,[3]fr(sq(3):3),,[4]  sin(x)+cos(x),,[1]2*x^(2)+3*x+1,[2]0,[3]((sqrt(3))/(3)),[4]sin(x)+cos(x),
14,0084AH,0508,12:22:53,Q04---,[1]  2x^(2)+3x+1,0,[2]0,,[3]fr(sq(3):3),,[4]  sin(x)+cos(x),,[1]2*x^(2)+3*x+1,[2]0,[3]((sqrt(3))/(3)),[4]sin(x)+cos(x),
15,0085AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[1]na,[2]na,[3]na,[4]na,
