CA,,,,,[1],___,[2],___,[3],___,[4],___,[5],___,[6],___,[1];1;,[2];1;,[3];1;,[4];1;,[5];1;,[6];1;,
1,0001AC,0508,12:41:20,Q05---,______,0,______,______,______,______,
2,0005AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
3,0013AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
4,0028AH,0508,18:8:6,Q05---,[1]  1,0,[2]  動いたがテストランができない,,[3]  1,,[4]  立ち上がらない,,[5]  3,,[6]  やり方がわからない,,[1]1,[2]動いたがテストランができない,[3]1,[4]立ち上がらない,[5]3,[6]やり方がわからない,
5,0034AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
6,0047AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
7,0048AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
8,0050AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
9,0055AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
10,0059AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
11,0061AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
12,0064AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
13,0070AH,0508,11:51:32,Q05---,[1]  1,0,[2]  3,,[3]  インストールができない,,[4]  3,,[5]  インストールができない,,[6]  2,,[1]1,[2]3,[3]インストールができない,[4]3,[5]インストールができない,[6]2,
14,0084AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
15,0085AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
16,0086AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
17,0088AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
18,0089AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
19,0090AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
20,0091AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
21,0092AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
22,0098AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
23,0099AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
24,0102AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
25,1003AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
26,3002MH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
27,1006AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
28,1054AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
29,1100AH,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
30,0029BN,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
31,1004BN,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
32,1061BN,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
33,0044BV,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
34,1072MF,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
35,3042MF,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
36,3072MF,0508,12:32:8,Q05---,______,0,______,______,______,______,
37,3118MF,,,,[1]na,0,[2]na,,[3]na,,[4]na,,[5]na,,[6]na,,[1]na,[2]na,[3]na,[4]na,[5]na,[6]na,
