CA,,,,,[] ,2,[];1;,
1,0001AC,0522,11:12:3,---,[]na,,[]n*a,
2,0005AH,0522,11:20:17,---,[]na,,[]n*a,
3,0013AH,0522,11:11:42,---,[]na,,[]n*a,
4,0028AH,,,,[] na,0,
5,0034AH,0522,11:9:41,---,[]na,,[]n*a,
6,0047AH,0522,11:21:59,---,[]na,,[]n*a,
7,0048AH,,,,[] na,0,
8,0050AH,,,,[] na,0,
9,0055AH,0522,11:55:10,---,[]na,,[]n*a,
10,0059AH,0522,11:7:22,---,[]na,,[]n*a,
11,0061AH,0522,11:12:6,---,[]na,,[]n*a,
12,0064AH,0522,11:12:17,---,[]na,,[]n*a,
13,0070AH,,,,[] na,0,
14,0084AH,0522,11:22:22,---,[]na,,[]n*a,
15,0085AH,,,,[] na,0,
16,0086AH,0522,11:9:4,---,[]na,,[]n*a,
17,0088AH,,,,[] na,0,
18,0089AH,0522,11:29:33,---,[]na,,[]n*a,
19,0090AH,0522,11:15:29,---,[]na,,[]n*a,
20,0091AH,0522,11:12:13,---,[]na,,[]n*a,
21,0092AH,0522,11:12:24,---,[]na,,[]n*a,
22,0098AH,0522,11:13:56,---,[]na,,[]n*a,
23,0099AH,0522,11:13:2,---,[]na,,[]n*a,
24,0102AH,0522,11:23:24,---,[]na,,[]n*a,
25,1003AH,0522,11:10:21,---,[]na,,[]n*a,
26,3002MH,0522,11:35:1,---,[]na,,[]n*a,
27,1006AH,0522,11:19:44,---,[]na,,[]n*a,
28,1054AH,0522,11:21:23,---,[]na,,[]n*a,
29,1100AH,0522,11:18:21,---,[]na,,[]n*a,
30,0029BN,,,,[] na,0,
31,1004BN,,,,[] na,0,
32,1061BN,,,,[] na,0,
33,0044BV,0522,11:8:4,---,[]na,,[]n*a,
34,1072MF,0522,11:20:40,---,[]na,,[]n*a,
35,3042MF,,,,[] na,0,
36,3072MF,0522,11:11:31,---,[]na,,[]n*a,
37,3118MF,0522,11:24:54,---,[]na,,[]n*a,
