CA,,,,,[1] ,2,[2] ,2,[1];1;,[2];1;
1,0001AC,522,12:55:3,Q03---,[1]=  1,,[2]=  完了,,[1]=1,[2]=完了
2,0005AH,522,12:12:3,Q03---,[1]=  1,,[2]=,,[1]=1,[2]=
3,0013AH,,,,[1] na,0,[2] na,0,,
4,0028AH,522,11:57:52,Q03---,[1]=  1,,[2]=,,[1]=1,[2]=
5,0034AH,522,12:11:16,Q03---,[1]=  1,,[2]=  完了しました,,[1]=1,[2]=完了しました
6,0047AH,522,12:7:40,Q03---,[1]=  2,,[2]=  ダウンロードはできているが動かない,,[1]=2,[2]=ダウンロードはできているが動かない
7,0048AH,522,12:53:39,Q03---,[1]=  1,,[2]=,,[1]=1,[2]=
8,0050AH,,,,[1] na,0,[2] na,0,,
9,0055AH,522,11:58:53,Q03---,[1]=  1,,[2]=  まだ動作確認していない,,[1]=1,[2]=まだ動作確認していない
10,0059AH,522,12:0:22,Q03---,[1]=  1,,[2]=  起動は確認した,,[1]=1,[2]=起動は確認した
11,0061AH,522,12:14:34,Q03---,[1]=  3,,[2]=  インストール中です,,[1]=3,[2]=インストール中です
12,0064AH,522,11:56:6,Q03---,[1]=  1,,[2]=  動作確認済み,,[1]=1,[2]=動作確認済み
13,0070AH,522,11:51:23,Q03---,[1]=  1,,[2]=  完了,,[1]=1,[2]=完了
14,0084AH,522,11:54:16,Q03---,[1]=  2,,[2]=  動作確認の仕方がわからない,,[1]=2,[2]=動作確認の仕方がわからない
15,0085AH,522,11:51:18,Q03---,[1]=  3,,[2]=,,[1]=3,[2]=
16,0086AH,522,11:56:2,Q03---,[1]=  1,,[2]=,,[1]=1,[2]=
17,0088AH,,,,[1] na,0,[2] na,0,,
18,0089AH,522,11:53:28,Q03---,[1]=  1,,[2]=,,[1]=1,[2]=
19,0090AH,522,12:26:55,Q03---,[1]=  2,,[2]=  インストール完了,,[1]=2,[2]=インストール完了
20,0091AH,522,12:17:12,Q03---,[1]=  1,,[2]=  たぶんできました,,[1]=1,[2]=たぶんできました
21,0092AH,522,12:1:8,Q03---,[1]=,,[2]=  インストール先が分からない,,[1]=,[2]=インストール先が分からない
22,0098AH,522,11:55:36,Q03---,[1]=  3,,[2]=  まだ,,[1]=3,[2]=まだ
23,0099AH,522,12:10:54,Q03---,[1]=  1,,[2]=  できたと思います。,,[1]=1,[2]=できたと思います。
24,0102AH,522,12:13:48,Q03---,[1]=  1,,[2]=  できた,,[1]=1,[2]=できた
25,1003AH,522,12:7:27,Q03---,[1]=  2,,[2]=  インストール中,,[1]=2,[2]=インストール中
26,3002MH,522,12:10:25,Q03---インストールできました,[1]=,,[2]=　動作確認はよくわかりません,,[1]=,[2]=　動作確認はよくわかりません
27,1006AH,522,11:52:46,Q03---,[1]=  3,,[2]=  ダウンロード方法が分かりません,,[1]=3,[2]=ダウンロード方法が分かりません
28,1054AH,522,11:55:16,Q03---,[1]=  2,,[2]=  確認していない,,[1]=2,[2]=確認していない
29,1100AH,522,11:54:8,Q03---,[1]=  3,,[2]=  ダウンロードしてない,,[1]=3,[2]=ダウンロードしてない
30,0029BN,,,,[1] na,0,[2] na,0,,
31,1004BN,,,,[1] na,0,[2] na,0,,
32,1061BN,,,,[1] na,0,[2] na,0,,
33,0044BV,522,11:57:57,Q03---,[1]=  2,,[2]=  インストール中です（コマンドプロンプトの画面で止まってます）,,[1]=2,[2]=インストール中です（コマンドプロンプトの画面で止まってます）
34,1072MF,,,,[1] na,0,[2] na,0,,
35,3042MF,522,11:58:27,Q03---,[1]=  1,,[2]=  動作確認済み,,[1]=1,[2]=動作確認済み
36,3072MF,522,12:11:15,Q03---,[1]=  1,,[2]=,,[1]=1,[2]=
37,3118MF,522,12:5:45,Q03---,[1]=  1,,[2]=,,[1]=1,[2]=
