CA,,,,,[1] ,2,[2] ,2,[1];1;,[2];1;,
1,0001AC,0522,13:56:25,Q05---,[1]=  2,,[2]=  インストールは完了しましたが、動作確認の方法を確認中です。,,[1]=2,[2]=インストールは完了しましたが、動作確認の方法を確認中です。,
2,0005AH,,,,[1] na,0,[2] na,0,
3,0013AH,,,,[1] na,0,[2] na,0,
4,0028AH,,,,[1] na,0,[2] na,0,
5,0034AH,0522,12:27:23,Q05---,[1]=  1,,[2]=  完了しました,,[1]=1,[2]=完了しました,
6,0047AH,0522,12:8:41,Q05---,[1]=  2,,[2]=  ダウンロードがブロックされてしまう,,[1]=2,[2]=ダウンロードがブロックされてしまう,
7,0048AH,0522,12:56:4,Q05---,[1]=  1,,[2]=,,[1]=1,[2]=,
8,0050AH,,,,[1] na,0,[2] na,0,
9,0055AH,0522,12:2:21,Q05---,[1]=  3,,[2]=  まだDLできていない,,[1]=3,[2]=まだD*Lできていない,
10,0059AH,0522,12:1:44,Q05---,[1]=  1,,[2]=  ダウンロードできているが起動できない,,[1]=1,[2]=ダウンロードできているが起動できない,
11,0061AH,0522,12:15:9,Q05---,[1]=  3,,[2]=  インストール中です,,[1]=3,[2]=インストール中です,
12,0064AH,0522,12:25:58,Q05---,[1]=  1,,[2]=  動作確認済み,,[1]=1,[2]=動作確認済み,
13,0070AH,0522,12:1:49,Q05---,[1]=  1,,[2]=  完了,,[1]=1,[2]=完了,
14,0084AH,0522,12:0:22,Q05---,[1]=  2,,[2]=  動作確認の仕方がわからない,,[1]=2,[2]=動作確認の仕方がわからない,
15,0085AH,0522,12:26:44,Q05---,[1]=  3,,[2]=,,[1]=3,[2]=,
16,0086AH,0522,12:12:51,Q05---,[1]=  1,,[2]=,,[1]=1,[2]=,
17,0088AH,,,,[1] na,0,[2] na,0,
18,0089AH,0522,12:11:24,Q05---,[1]=  1,,[2]=,,[1]=1,[2]=,
19,0090AH,0522,12:26:55,Q05---,[1]=  2,,[2]=  インストール完了,,[1]=2,[2]=インストール完了,
20,0091AH,0522,12:22:2,Q05---,[1]=  1,,[2]=  たぶんできました,,[1]=1,[2]=たぶんできました,
21,0092AH,0522,12:3:12,Q05---,[1]=  2,,[2]=,,[1]=2,[2]=,
22,0098AH,0522,11:58:43,Q05---,[1]=  3,,[2]=  まだ,,[1]=3,[2]=まだ,
23,0099AH,0522,14:28:36,Q05---,[1]=  1,,[2]=  完了,,[1]=1,[2]=完了,
24,0102AH,,,,[1] na,0,[2] na,0,
25,1003AH,0522,12:28:7,Q05---,[1]=  3,,[2]=  これからインストールします,,[1]=3,[2]=これからインストールします,
26,3002MH,0522,12:20:27,Q05---全て展開していますが終わりません,[1]=,,[2]=,,[1]=,[2]=,
27,1006AH,,,,[1] na,0,[2] na,0,
28,1054AH,0522,12:13:34,Q05---,[1]=  2,,[2]=  確認していない,,[1]=2,[2]=確認していない,
29,1100AH,0522,12:0:26,Q05---,[1]=  2,,[2]=  ダウンロードしたが、動かしてない,,[1]=2,[2]=ダウンロードしたが、動かしてない,
30,0029BN,,,,[1] na,0,[2] na,0,
31,1004BN,,,,[1] na,0,[2] na,0,
32,1061BN,,,,[1] na,0,[2] na,0,
33,0044BV,0522,11:59:41,Q05---,[1]=  1,,[2]=  動作確認もできました,,[1]=1,[2]=動作確認もできました,
34,1072MF,,,,[1] na,0,[2] na,0,
35,3042MF,,,,[1] na,0,[2] na,0,
36,3072MF,0522,12:12:3,Q05---,[1]=  1,,[2]=,,[1]=1,[2]=,
37,3118MF,0522,12:9:34,Q05---,[1]=  1,,[2]=,,[1]=1,[2]=,
