CA,2024,0605,,Q01---,[],2,[];1;,
1,0001AC,0605,11:4:50,Q01---,[]=  1,,[]1,
2,0005AH,0605,11:5:29,Q01---,[]=2,,[]2,
3,0013AH,0605,11:10:47,Q01---,[]=  2,,[]2,
4,0028AH,0605,11:4:21,Q01---,[]=  2,,[]2,
5,0034AH,0605,11:5:33,Q01---,[]=  2,,[]2,
6,0047AH,,,Q01---,[]na,0,[]na,
7,0048AH,0605,11:6:40,Q01---,[]=  1,,[]1,
8,0050AH,0605,11:18:25,Q01---,[]=  2,,[]2,
9,0055AH,0605,11:7:34,Q01---,[]=  2,,[]2,
10,0059AH,0605,11:6:18,Q01---,[]=  2,,[]2,
11,0061AH,0605,11:7:0,Q01---,[]=  2,,[]2,
12,0064AH,0605,11:7:8,Q01---,[]=  2,,[]2,
13,0070AH,0605,11:19:35,Q01---２,[]=  ２,,[]２,
14,0084AH,0605,11:3:42,Q01---,[]=  2,,[]2,
15,0085AH,0605,11:5:29,Q01---,[]=  1,,[]1,
16,0086AH,0605,11:5:13,Q01---,[]=  2,,[]2,
17,0088AH,,,Q01---,[]na,0,[]na,
18,0089AH,0605,11:5:7,Q01---,[]=  2,,[]2,
19,0090AH,0605,11:8:56,Q01---,[]=  1,,[]1,
20,0091AH,,,Q01---,[]na,0,[]na,
21,0092AH,0605,11:3:9,Q01---,[]=  2,,[]2,
22,0098AH,0605,11:15:59,Q01---できない,[]=,,[],
23,0099AH,0605,11:6:18,Q01---,[]=  2,,[]2,
24,0102AH,0605,11:7:18,Q01---,[]=  2,,[]2,
25,1003AH,0605,11:12:12,Q01---,[]=  2,,[]2,
26,3002MH,0605,11:6:5,Q01---,[]=  2,,[]2,
27,1006AH,0605,11:25:20,Q01---,[]=  1,,[]1,
28,1054AH,,,Q01---,[]na,0,[]na,
29,1100AH,0605,11:6:39,Q01---,[]=  2,,[]2,
30,0029BN,,,Q01---,[]na,0,[]na,
31,1004BN,0605,11:5:21,Q01---,[]=  2,,[]2,
32,1061BN,,,Q01---,[]na,0,[]na,
33,0044BV,0605,14:45:2,Q01---,[]=  2,,[]2,
34,1072MF,,,Q01---,[]na,0,[]na,
35,3042MF,,,Q01---,[]na,0,[]na,
36,3072MF,0605,11:7:7,Q01---,[]=  2,,[]2,
37,3118MF,0605,11:6:8,Q01---,[]=  2,,[]2,
