CA,2024,0612,,Q01---,[1],2,[2],2,[1];1;,[2];1;,
1,0001AC,0612,11:12:54,Q01---,[1]y,,[2]y,,[1]y,[2]y,
2,0005AH,0612,10:55:51,Q01---,[1]y,,[2]y,,[1]y,[2]y,
3,0013AH,0612,10:56:56,Q01---,[1]y,,[2]n,,[1]y,[2]n,
4,0028AH,0612,10:55:1,Q01---,[1]y,,[2]y,,[1]y,[2]y,
5,0034AH,0612,10:56:14,Q01---,[1]y,,[2]y,,[1]y,[2]y,
6,0047AH,0612,10:54:2,Q01---,[1]n,,[2]y,,[1]n,[2]y,
7,0048AH,0612,10:58:14,Q01---,[1]y,,[2]y,,[1]y,[2]y,
8,0050AH,0612,10:59:18,Q01---,[1]y,,[2]y,,[1]y,[2]y,
9,0055AH,0612,10:56:0,Q01---,[1]y,,[2]y,,[1]y,[2]y,
10,0059AH,0612,10:55:15,Q01---,[1]1,,[2]1,,[1]1,[2]1,
11,0061AH,0612,10:55:32,Q01---,[1]y,,[2]y,,[1]y,[2]y,
12,0064AH,0612,10:54:47,Q01---,[1]y,,[2]y,,[1]y,[2]y,
13,0070AH,,,Q01---,[1]na,0,[2]na,0,[1]na,[2]na,
14,0084AH,0612,10:53:45,Q01---,[1]y,,[2]y,,[1]y,[2]y,
15,0085AH,0612,10:55:39,Q01---,[1]y,,[2]n,,[1]y,[2]n,
16,0086AH,0612,10:55:33,Q01---,[1]y,,[2]y,,[1]y,[2]y,
17,0088AH,0612,10:56:52,Q01---,[1]n,,[2]y,,[1]n,[2]y,
18,0089AH,0612,10:55:7,Q01---,[1]y,,[2]y,,[1]y,[2]y,
19,0090AH,0612,10:59:12,Q01---,[1]y,,[2]y,,[1]y,[2]y,
20,0091AH,0612,10:56:16,Q01---,[1]y,,[2]y,,[1]y,[2]y,
21,0092AH,0612,10:54:4,Q01---,[1]y,,[2]y,,[1]y,[2]y,
22,0098AH,0612,10:56:21,Q01---,[1]y,,[2]y,,[1]y,[2]y,
23,0099AH,0612,10:56:51,Q01---,[1]y,,[2]y,,[1]y,[2]y,
24,0102AH,0612,11:59:54,Q01---,[1]y,,[2]y,,[1]y,[2]y,
25,1003AH,0612,10:53:34,Q01---,[1]y,,[2]y,,[1]y,[2]y,
26,3002MH,0612,10:54:40,Q01---,[1]y,,[2]y,,[1]y,[2]y,
27,1006AH,,,Q01---,[1]na,0,[2]na,0,[1]na,[2]na,
28,1054AH,0612,11:1:28,Q01---,[1]y,,[2]y,,[1]y,[2]y,
29,1100AH,0612,10:55:27,Q01---,[1]y,,[2]n,,[1]y,[2]n,
30,0029BN,0612,10:57:24,Q01---,[1]y,,[2]n,,[1]y,[2]n,
31,1004BN,0612,10:57:57,Q01---,[1]y,,[2]n,,[1]y,[2]n,
32,1061BN,,,Q01---,[1]na,0,[2]na,0,[1]na,[2]na,
33,0044BV,0612,10:56:6,Q01---,[1]1,,[2]1,,[1]1,[2]1,
34,1072MF,,,Q01---,[1]na,0,[2]na,0,[1]na,[2]na,
35,3042MF,,,Q01---,[1]na,0,[2]na,0,[1]na,[2]na,
36,3072MF,,,Q01---,[1]na,0,[2]na,0,[1]na,[2]na,
37,3118MF,0612,11:27:20,Q01---,[1]y,,[2]y,,[1]y,[2]y,
