CA,2024,0612,,Q02---,[1],2,[2],2,[1];1;,[2];1;,
1,0001AC,,,Q02---,[1]na,0,[2]na,0,[1]na,[2]na,
2,0005AH,0612,12:29:37,Q02---,[1]Ketinit(); //Setfiles("");  Bezier("1":[A:B:C:D:A]:[G:H:K:F]);  Listplot("1":[E:NE]); pts=Intersectcrvs("bz1":"sg1"); np=length(pts); if (mod(np:2)==0:  Letter([NE.x:SW.y]:"e":"外部"); :  Letter([NE.x:SW.y]:"e":"内部"); );   Windispg();  Help("List"); //Help("Option");,,[2]いろいろな図形を作ることができた．シンデレラが重くなるのでちょっと困った．,,[1]I*n*t*e*r*s*e*c*t*c*r*v*s*("b*z*1":"s*g*1");n*p=l*e*n*g*t*h*(p*t*s);i*f*(m*o*d*(n*p:2)==0:L*e*t*t*e*r*(:"e":"外部");:L*e*t*t*e*r*(:"e":"内部"););W*i*n*d*i*s*p*g*;H*e*l*p*("L*i*s*t");//H*e*l*p*("O*p*t*i*o*n");,[2]いろいろな図形を作ることができた．シンデレラが重くなるのでちょっと困った．,
3,0013AH,,,Q02---,[1]na,0,[2]na,0,[1]na,[2]na,
4,0028AH,0612,12:45:23,Q02---,[1]Ketinit();  Bezier("1":[A:B:C:D:A]:[G:H:K:F]); Listplot("1":[E:NE]:["nodisp"]); pts=Intersectcrvs("bz1":"sg1"); np=length(pts); if(mod(np:2)==0:  Letter([NE.x:SW.y]:"e":"外部"); :  Letter([NE.x:SW.y]:"e":"内部"); );  Windispg();  //Help("Intersect"); Help("List");,,[2]非常にわかりやすかったです．実際にやってみると面白く今後も活用していきたいなと思いました．ありがとうございました．,,[1]I*n*t*e*r*s*e*c*t*c*r*v*s*("b*z*1":"s*g*1");n*p=l*e*n*g*t*h*(p*t*s);i*f*(m*o*d*(n*p:2)==0:L*e*t*t*e*r*(:"e":"外部");:L*e*t*t*e*r*(:"e":"内部"););W*i*n*d*i*s*p*g*;//H*e*l*p*("I*n*t*e*r*s*e*c*t");H*e*l*p*("L*i*s*t");,[2]非常にわかりやすかったです．実際にやってみると面白く今後も活用していきたいなと思いました．ありがとうございました．,
5,0034AH,0612,12:26:14,Q02---,[1]Ketinit(); //Setfiles("");  Bezier("1":[A:B:C:D:A]:[G:H:K:F]);  Listplot("1":[E:NE]); pts=Intersectcrvs("bz1":"sg1"); np=length(pts); if (mod(np:2)==0: 	Letter([NE.x:SW.y]:"e":"外部"); : 	Letter([NE.x:SW.y]:"e":"内部"); );	  Windispg();  Help("List"); //Help("Option");,,[2]cdyファイルの作り方わかった。kettexの使い方がわからなかった,,[1]I*n*t*e*r*s*e*c*t*c*r*v*s*("b*z*1":"s*g*1");n*p=l*e*n*g*t*h*(p*t*s);i*f*(m*o*d*(n*p:2)==0:	L*e*t*t*e*r*(:"e":"外部");:	L*e*t*t*e*r*(:"e":"内部"););	W*i*n*d*i*s*p*g*;H*e*l*p*("L*i*s*t");//H*e*l*p*("O*p*t*i*o*n");,[2]c*d*yファイルの作り方わかった。k*e*t*t*e*xの使い方がわからなかった,
6,0047AH,,,Q02---,[1]na,0,[2]na,0,[1]na,[2]na,
7,0048AH,0612,12:32:12,Q02---,[1]Ketinit();  Listplot("1":[A:B:C:A]:["dr:2"]);  Windispg();  //Help("List"); //Help("Option");,,[2]kettexのセットアップがうまくいかないので、そこを説明してほしい。,,[1]K*e*t*i*n*i*t*;L*i*s*t*p*l*o*t*("1"::);W*i*n*d*i*s*p*g*;//H*e*l*p*("L*i*s*t");//H*e*l*p*("O*p*t*i*o*n");,[2]k*e*t*t*e*xのセットアップがうまくいかないので、そこを説明してほしい。,
8,0050AH,,,Q02---,[1]na,0,[2]na,0,[1]na,[2]na,
9,0055AH,0612,12:29:7,Q02---,[1]Ketinit();  Addax(0);  Listplot("1":[A:B:C:A]); Circledata("1":[D:E]); Shade(["sg1"]:["Color=green"]); Shade(["cr1"]:["Color=0.4*[1:1:0:0]"]);  Pointdata("I":D:["Size=4"]); Letter([A:"sw":"A":B:"ne":"B":C:"se":"C":D:"se":"I"]);  Windispg();  //Help("Shade");,,[2]少し難しかった,,[1]g*r*e*e*n""c*r*1""C*o*l*o*r=0.4*""S*i*z*e=4"A:"s*w":"A":B:"n*e":"B":C:"s*e":"C":D:"s*e":"I"___,[2]少し難しかった,
10,0059AH,0612,12:29:47,Q02---,[1]Ketinit();  Bezier("1":[A:B:C:D:A]:[G:H:K:F]); Listplot("1":[E:NE]); pts=Intersectcrvs("bz1":"sg1"); print(pts);  Windispg();  //Help("List"); //Help("Option");,,[2]授業中はスクリプトは常に表示したまま進めてほしい。,,[1]I*n*t*e*r*s*e*c*t*c*r*v*s*("b*z*1":"s*g*1");p*r*i*n*t*(p*t*s);W*i*n*d*i*s*p*g*;//H*e*l*p*("L*i*s*t");//H*e*l*p*("O*p*t*i*o*n");,[2]授業中はスクリプトは常に表示したまま進めてほしい。,
