CA,2024,0619,,Q01---,[1],___,[2],0,[3],0,[4],0,[5],0,[6],0,[7],0,[1];1;,[2];1;,[3];1;,[4];1;,[5];1;,[6];1;,[7];1;,
1,0001AC,0619,12:22:11,Q01---,[1]y,,[2]y,,[3]y,,[4]y,,[5]y,,[6]y,,[7],,[1]y,[2]y,[3]y,[4]y,[5]y,[6]y,[7],
2,0005AH,0619,12:14:20,Q01---,[1]y,,[2]y,,[3]y,,[4]y,,[5]y,,[6]y,,[7],,[1]y,[2]y,[3]y,[4]y,[5]y,[6]y,[7],
3,0013AH,0619,12:20:31,Q01---,[1]y,,[2]y,,[3]y,,[4]y,,[5]y,,[6]y,,[7]正常に作動しました！お忙しい中ありがとうございました。,,[1]y,[2]y,[3]y,[4]y,[5]y,[6]y,[7]正常に作動しました！お忙しい中ありがとうございました。,
4,0028AH,0619,12:14:8,Q01---,[1]y,,[2]4.4.81なら所定の場所に置いてあります,,[3]y,,[4]y,,[5]y,,[6]y,,[7],,[1]y,[2]4.4.81なら所定の場所に置いてあります,[3]y,[4]y,[5]y,[6]y,[7],
5,0034AH,0619,12:15:14,Q01---,[1]y,,[2]y,,[3]y,,[4]y,,[5]y,,[6]y,,[7]なし,,[1]y,[2]y,[3]y,[4]y,[5]y,[6]y,[7]なし,
6,0047AH,0619,12:26:19,Q01---,[1]y,,[2]y,,[3]y,,[4]y,,[5]説明の通りに行ったが、上手くできない,,[6]コマンドプロンプトが立ち上がらない状態,,[7],,[1]y,[2]y,[3]y,[4]y,[5]説明の通りに行ったが、上手くできない,[6]コマンドプロンプトが立ち上がらない状態,[7],
7,0048AH,0619,12:21:16,Q01---,[1]y,,[2]y,,[3]y,,[4]y,,[5]y,,[6]y,,[7],,[1]y,[2]y,[3]y,[4]y,[5]y,[6]y,[7],
8,0050AH,0619,12:20:22,Q01---,[1]y,,[2]y,,[3]y,,[4]y,,[5]Rのエラーが起きた,,[6]Rのエラーで正常に動作されない,,[7]R4.4.1では正常に作動しないのでしょうか？,,[1]y,[2]y,[3]y,[4]y,[5]Rのエラーが起きた,[6]Rのエラーで正常に動作されない,[7]R*4.4.1では正常に作動しないのでしょうか？,
9,0055AH,0619,12:11:31,Q01---,[1]y,,[2]y,,[3]y,,[4]y,,[5]y,,[6]y,,[7],,[1]y,[2]y,[3]y,[4]y,[5]y,[6]y,[7],
10,0059AH,0619,10:57:40,Q01---,[1]y,,[2]y,,[3]y,,[4]y,,[5]わからない,,[6]y,,[7]なし,,[1]y,[2]y,[3]y,[4]y,[5]わからない,[6]y,[7]なし,
11,0061AH,0619,11:46:6,Q01---,[1]y,,[2]y,,[3]y,,[4]y,,[5]y,,[6]y,,[7]y,,[1]y,[2]y,[3]y,[4]y,[5]y,[6]y,[7]y,
12,0064AH,0619,12:11:15,Q01---,[1]y,,[2]y,,[3]y,,[4]y,,[5]y,,[6]y,,[7]y,,[1]y,[2]y,[3]y,[4]y,[5]y,[6]y,[7]y,
13,0070AH,0619,12:13:21,Q01---,[1]はい,,[2]はい,,[3]はい,,[4]はい,,[5]はい,,[6]はい,,[7]ないです,,[1]はい,[2]はい,[3]はい,[4]はい,[5]はい,[6]はい,[7]ないです,
14,0084AH,0619,12:10:46,Q01---,[1]y,,[2]y,,[3]y,,[4]y,,[5]y,,[6]y,,[7]特になし,,[1]y,[2]y,[3]y,[4]y,[5]y,[6]y,[7]特になし,
