CA,2024,0703,,Q03---,[],___,[];1;,
1,0001AC,0703,23:23:5,Q03---Ketinit(); //Setfiles("");  Addax(0); Listplot("1":[A:B:C:A]:[]); Circledata("1":[A:B:C]);  Letter([A:"sw":"A":B:"se":"B":C:"n2":"C"]);  Windispg(); ,[],,[],
2,0005AH,0703,12:33:18,Q03---,[]Ketinit();  Implicitplot("1":"x^2+y^2=1":"x=[-2:2]":"y=[-2:2]"); Listplot("1":[A:B:C:A]); Windispg();  //Help("List"); //Help("Option"),,[]1":"x=":"y=");L*i*s*t*p*l*o*t*("1":);W*i*n*d*i*s*p*g*;//H*e*l*p*("L*i*s*t");//H*e*l*p*("O*p*t*i*o*n"),
3,0013AH,,,Q03---,[]na,0,[]na,
4,0028AH,,,Q03---,[]na,0,[]na,
5,0034AH,0703,12:29:7,Q03---,[]Ketinit();  Listplot("1":[A:B:D:C:A]:["dr:2"]);  Windispg();  //Help("List"); //Help("Option"),,[]K*e*t*i*n*i*t*;L*i*s*t*p*l*o*t*("1"::);W*i*n*d*i*s*p*g*;//H*e*l*p*("L*i*s*t");//H*e*l*p*("O*p*t*i*o*n"),
6,0047AH,0709,20:28:24,Q03---Ketinit();  Listplot("1":[A:C:B:D:A]:["dr:2"]);  Windispg(); ,[],,[],
7,0048AH,0703,12:33:16,Q03---,[]Ketinit();  Listplot("1":[A:B:C:A]:["dr:2"]);  Windispg();  //Help("List"); //Help("Option"),,[]K*e*t*i*n*i*t*;L*i*s*t*p*l*o*t*("1"::);W*i*n*d*i*s*p*g*;//H*e*l*p*("L*i*s*t");//H*e*l*p*("O*p*t*i*o*n"),
8,0050AH,,,Q03---,[]na,0,[]na,
9,0055AH,0703,12:33:26,Q03---,[]Ketinit(); //Setfiles("");  //Addax(0); p0=[0:0];  Listplot("1":[A:p0:B:C:A]:[]); //Circledata("1":[A:B:C]);  r=1.5; Circledata("2":[A:|A-p0|]); //Letter([A:"sw":"A":B:"se":"B":C:"n2":"C"]);  Windispg(),,[][0:0*A:p*0:B:C:A*A:B:C*A:abs(A-p*0)*A:"s*w":"A":B:"s*e":"B":C:"n*2":"C"___],
10,0059AH,0703,13:27:37,Q03---,[]Ketinit(); //Setfiles("");  Addax(0); Listplot("1":[A:B:C:A]:[]); Circledata("1":[A:B:C]);  Letter([A:"sw":"A":B:"se":"B":C:"n2":"C"]);  Windispg(),,[]K*e*t*i*n*i*t*;//S*e*t*f*i*l*e*s*("");A*d*d*a*x*(0);L*i*s*t*p*l*o*t*("1"::);C*i*r*c*l*e*d*a*t*a*("1":);L*e*t*t*e*r*;W*i*n*d*i*s*p*g*,
11,0061AH,,,Q03---,[]na,0,[]na,
12,0064AH,0703,12:18:37,Q03---,[]Ketinit(); //Setfiles("");  //Addax(0); p0=[0:0];  Listplot("1":[A:p0:B:C:A]:[]); //Circledata("1":[A:B:C]);  r=1.5; Circledata("2":[A:|A-p0|]); //Letter([A:"sw":"A":B:"se":"B":C:"n2":"C"]);  Windispg(); //Help("Circle"),,[][0:0*A:p*0:B:C:A*A:B:C*A:abs(A-p*0)*A:"s*w":"A":B:"s*e":"B":C:"n*2":"C"___],
13,0070AH,,,Q03---,[]na,0,[]na,
14,0084AH,0703,12:18:55,Q03---,[]Ketinit(); //Setfiles("");  //Addax(0); p0=[0:0];  Listplot("1":[A:p0:B:C:A]:[]); //Circledata("1":[A:B:C]);  r=1.5; Circledata("2":[A:|A-p0|]); //Letter([A:"sw":"A":B:"se":"B":C:"n2":"C"]);  Windispg(),,[][0:0*A:p*0:B:C:A*A:B:C*A:abs(A-p*0)*A:"s*w":"A":B:"s*e":"B":C:"n*2":"C"___],
15,0085AH,,,Q03---,[]na,0,[]na,
16,0086AH,0703,12:18:13,Q03---,[]Ketinit(); //Setfiles("");  //Addax(0); p0=[0:0];  Listplot("1":[A:p0:D:B:C:A]:[]); r=1.5; Circledata("1":[A:|A-p0|]);  //Letter([A:"sw":"A":B:"se":"B":C:"n2":"C"]);  Windispg(),,[][0:0*A:p*0:D:B:C:A*A:abs(A-p*0)*A:"s*w":"A":B:"s*e":"B":C:"n*2":"C"___],
17,0088AH,0703,12:27:35,Q03---,[],,[],
18,0089AH,,,Q03---,[]na,0,[]na,
19,0090AH,0703,12:42:20,Q03---,[]Ketinit(); //Setfiles("");  Addax(0); Listplot("1":[A:B:C:A]:[]); Circledata("1":[A:B:C]);  Letter([A:"sw":"A":B:"se":"B":C:"n2":"C"]);  Windispg(),,[]K*e*t*i*n*i*t*;//S*e*t*f*i*l*e*s*("");A*d*d*a*x*(0);L*i*s*t*p*l*o*t*("1"::);C*i*r*c*l*e*d*a*t*a*("1":);L*e*t*t*e*r*;W*i*n*d*i*s*p*g*,
20,0091AH,0703,12:29:29,Q03---,[]Ketinit();  Listplot("1":[A:B:D:C:A]:["dr:2"]);  Windispg();  //Help("List"); //Help("Option"),,[]K*e*t*i*n*i*t*;L*i*s*t*p*l*o*t*("1"::);W*i*n*d*i*s*p*g*;//H*e*l*p*("L*i*s*t");//H*e*l*p*("O*p*t*i*o*n"),
21,0092AH,0703,12:20:46,Q03---,[]Ketinit(); //Setfiles("");  Addax(0); Listplot("1":[A:B:C:A]:[]); Circledata("1":[A:B:C]);  Letter([A:"sw":"A":B:"se":"B":C:"n2":"C"]);  Windispg(),,[]K*e*t*i*n*i*t*;//S*e*t*f*i*l*e*s*("");A*d*d*a*x*(0);L*i*s*t*p*l*o*t*("1"::);C*i*r*c*l*e*d*a*t*a*("1":);L*e*t*t*e*r*;W*i*n*d*i*s*p*g*,
22,0098AH,,,Q03---,[]na,0,[]na,
23,0099AH,,,Q03---,[]na,0,[]na,
24,0102AH,,,Q03---,[]na,0,[]na,
25,1003AH,0703,12:42:45,Q03---,[]Ketinit(); //Setfiles("");  //Addax(0); p0=[0:0]; Listplot("1":[A:p0:B:C:D:A]:[]); //Circledata("1":[A:B:C]);  //Letter([A:"sw":"A":B:"se":"B":C:"n2":"C"]); Circledata("2":[A:|A-p0|]); Circledata("3":[D:|D-C|]);  Windispg(); //Help("Circle"),,[][0:0*A:p*0:B:C:D:A*A:B:C*A:"s*w":"A":B:"s*e":"B":C:"n*2":"C"A:abs(A-p*0)*D:abs(D-C)___],
26,3002MH,,,Q03---,[]na,0,[]na,
27,1006AH,,,Q03---,[]na,0,[]na,
28,1054AH,0718,19:3:1,Q03---\documentclass{jarticle} \usepackage[dvipdfmx]{pict2e} \usepackage{ketpic2e} \usepackage{ketlayer2e} \usepackage{amsmath:amssymb} \usepackage{graphicx} \usepackage{color}   \setmargin{20}{20}{20}{20}   \begin{document},[],,[],
29,1100AH,0724,12:19:43,Q03---,[]Ketinit();  Listplot("1":[A:B:C:A]:["dr:2"]);  Windispg();  //Help("List"); //Help("Option"),,[]K*e*t*i*n*i*t*;L*i*s*t*p*l*o*t*("1"::);W*i*n*d*i*s*p*g*;//H*e*l*p*("L*i*s*t");//H*e*l*p*("O*p*t*i*o*n"),
30,0029BN,,,Q03---,[]na,0,[]na,
31,1004BN,,,Q03---,[]na,0,[]na,
32,1061BN,,,Q03---,[]na,0,[]na,
33,0044BV,,,Q03---,[]na,0,[]na,
34,1072MF,,,Q03---,[]na,0,[]na,
35,3042MF,,,Q03---,[]na,0,[]na,
36,3072MF,0703,12:39:28,Q03---,[]Ketinit(); //Setfiles("s0101figure.tex");  //Addax(0); Listplot("1":[A:B:C:(0:0):A]:[]); Circledata("1":[A:B:C]);  Letter([A:"sw":"A":B:"se":"B":C:"n2":"C"]);  Windispg(),,[]K*e*t*i*n*i*t*;//S*e*t*f*i*l*e*s*("s*0101*f*i*g*u*r*e*.*t*e*x");//A*d*d*a*x*(0);L*i*s*t*p*l*o*t*("1"::);C*i*r*c*l*e*d*a*t*a*("1":);L*e*t*t*e*r*;W*i*n*d*i*s*p*g*,
37,3118MF,,,Q03---,[]na,0,[]na,
