CA,2024,0710,,Q03---,[1],2,[2],2,[3],2,[4],2,[1];1;,[2];1;,[3];1;,[4];1;,
1,0001AC,,,Q03---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[1]na,[2]na,[3]na,[4]na,
2,0005AH,0710,12:23:47,Q03---,[1]= fr(5:6),,[2]y'= cos(x),,[3]=log(2:fr(10:5))=1,,[4]=br(:0:1)=,,[1]((5)/(6)),[2]cos(x),[3]log(((10)/(5)))/l*o*g}(2)=1,[4]b*r*(:0:1)=,
3,0013AH,0710,12:29:54,Q03---,[1]= fr(5:6),,[2]y'= cos(x),,[3]=log(2:fr(10:5))=log(2:2) =1,,[4]=br(:0:1)=,,[1]((5)/(6)),[2]cos(x),[3]log(((10)/(5)))/log(2)=l*o*g}(2)/l*o*g}(2)=1,[4]b*r*(:0:1)=,
4,0028AH,0710,12:23:8,Q03---,[1]= fr(5:6),,[2]y'= cos(x),,[3]=log(2:fr(10:5))= 1,,[4]=br(:0:1)=,,[1]((5)/(6)),[2]cos(x),[3]log(((10)/(5)))/l*o*g}(2)=1,[4]b*r*(:0:1)=,
5,0034AH,0710,12:25:47,Q03---,[1]= fr(5:6),,[2]y'= cos(x),,[3]=log(2:fr(10:5))=1,,[4]=br(:0:1)=,,[1]((5)/(6)),[2]cos(x),[3]log(((10)/(5)))/l*o*g}(2)=1,[4]b*r*(:0:1)=,
6,0047AH,0710,12:27:20,Q03---,[1]= fr(5:6),,[2]y'= cos(x),,[3]=log(2:2)=1,,[4]=br(:0:1)=,,[1]((5)/(6)),[2]cos(x),[3]log(2)/l*o*g}(2)=1,[4]b*r*(:0:1)=,
7,0048AH,0710,12:24:14,Q03---,[1]= fr(5:6),,[2]y'= cos(x),,[3]=log(2:fr(10:5))= 1,,[4]=br(:0:1)=,,[1]((5)/(6)),[2]cos(x),[3]log(((10)/(5)))/l*o*g}(2)=1,[4]b*r*(:0:1)=,
8,0050AH,,,Q03---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[1]na,[2]na,[3]na,[4]na,
9,0055AH,0710,12:25:3,Q03---,[1]= fr(5:6),,[2]y'= cos(x),,[3]=log(2:2)=1,,[4]=br(:0:1)=,,[1]((5)/(6)),[2]cos(x),[3]log(2)/l*o*g}(2)=1,[4]b*r*(:0:1)=,
10,0059AH,0710,12:22:39,Q03---,[1]= fr(5:6),,[2]y'= cos(x),,[3]=log(2:)= log(2:fr(10:5))=log(2:2)=1,,[4]=br(:0:1)=,,[1]((5)/(6)),[2]cos(x),[3]log/log(2)=log(((10)/(5)))/l*o*g}(2)=l*o*g}(2)/l*o*g}(2)=1,[4]b*r*(:0:1)=,
11,0061AH,0710,12:29:18,Q03---,[1]= fr(5:6),,[2]y'= cos(x),,[3]=log(2:fr(10:5))=log(2:2)=1,,[4]=br(:0:1)=,,[1]((5)/(6)),[2]cos(x),[3]log(((10)/(5)))/log(2)=l*o*g}(2)/l*o*g}(2)=1,[4]b*r*(:0:1)=,
12,0064AH,0710,12:26:52,Q03---,[1]= fr(5:6),,[2]y'= cos(x),,[3]=log(2:2)=1,,[4]=br(:0:1)=,,[1]((5)/(6)),[2]cos(x),[3]log(2)/l*o*g}(2)=1,[4]b*r*(:0:1)=,
13,0070AH,0710,12:23:21,Q03---,[1]= fr(5:6),,[2]y'= cos(x),,[3]=log(2:fr(10:5))=1,,[4]=br(:0:1)=,,[1]((5)/(6)),[2]cos(x),[3]log(((10)/(5)))/l*o*g}(2)=1,[4]b*r*(:0:1)=,
14,0084AH,0710,12:24:55,Q03---,[1]= fr(5:6),,[2]y'= cos(x),,[3]=log(2:2)=1,,[4]=br(:0:1)=,,[1]((5)/(6)),[2]cos(x),[3]log(2)/l*o*g}(2)=1,[4]b*r*(:0:1)=,
15,0085AH,0710,12:28:19,Q03---,[1]= fr(5:6),,[2]y'= cos(x),,[3]=log(2:fr(5:6))= 1,,[4]=br(:0:1)=,,[1]((5)/(6)),[2]cos(x),[3]log(((5)/(6)))/l*o*g}(2)=1,[4]b*r*(:0:1)=,
16,0086AH,0710,12:20:24,Q03---,[1]= fr(5:6),,[2]y'= cos(x),,[3]=log(2:fr(10:5))= 1,,[4]=br(:0:1)=,,[1]((5)/(6)),[2]cos(x),[3]log(((10)/(5)))/l*o*g}(2)=1,[4]b*r*(:0:1)=,
17,0088AH,0710,12:20:1,Q03---,[1]= fr(5:6),,[2]y'= cos(x),,[3]=log(2:fr(10:5))= 1,,[4]=br(:0:1)=,,[1]((5)/(6)),[2]cos(x),[3]log(((10)/(5)))/l*o*g}(2)=1,[4]b*r*(:0:1)=,
18,0089AH,0710,12:25:38,Q03---,[1]= 1/2+1/3,,[2]y'= cos x,,[3]=log(2:10/5)=log(2:2)=1,,[4]=br(:0:1)=,,[1]1/2+1/3,[2]c*o*s*x,[3]log(10/5)/log(2)=l*o*g}(2)/l*o*g}(2)=1,[4]b*r*(:0:1)=,
19,0090AH,0710,12:26:52,Q03---,[1]= fr(5:6),,[2]y'= cos(x),,[3]=log(2:2)=1,,[4]=br(x:0:1)=1,,[1]((5)/(6)),[2]cos(x),[3]log(2)/l*o*g}(2)=1,[4]b*r*(x:0:1)=1,
20,0091AH,,,Q03---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[1]na,[2]na,[3]na,[4]na,
21,0092AH,0710,12:20:18,Q03---,[1]= fr(5:6),,[2]y'= cos(x),,[3]=log(2:fr(10:5))=1,,[4]=br(int(x:0:1)),,[1]((5)/(6)),[2]cos(x),[3]log(((10)/(5)))/l*o*g}(2)=1,[4]b*r*(i*n*t*(x:0:1)),
22,0098AH,,,Q03---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[1]na,[2]na,[3]na,[4]na,
23,0099AH,0710,12:21:41,Q03---,[1]= fr(5:6),,[2]y'= cos(x),,[3]=log(2:fr(10:5))= log(2:2)=1,,[4]=br(:0:1)=,,[1]((5)/(6)),[2]cos(x),[3]log(((10)/(5)))/log(2)=l*o*g}(2)/l*o*g}(2)=1,[4]b*r*(:0:1)=,
24,0102AH,,,Q03---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[1]na,[2]na,[3]na,[4]na,
25,1003AH,0710,12:23:6,Q03---,[1]= fr(5:6),,[2]y'= cos(x),,[3]=log(2:fr(10:5))= 1,,[4]=br(:0:1)=,,[1]((5)/(6)),[2]cos(x),[3]log(((10)/(5)))/l*o*g}(2)=1,[4]b*r*(:0:1)=,
26,3002MH,,,Q03---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[1]na,[2]na,[3]na,[4]na,
27,1006AH,,,Q03---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[1]na,[2]na,[3]na,[4]na,
28,1054AH,,,Q03---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[1]na,[2]na,[3]na,[4]na,
29,1100AH,,,Q03---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[1]na,[2]na,[3]na,[4]na,
30,0029BN,,,Q03---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[1]na,[2]na,[3]na,[4]na,
31,1004BN,0710,12:22:4,Q03---,[1]= fr(5:6),,[2]y'= cos(x),,[3]=log(2:fr(10:5))=1,,[4]=br(:0:1)=,,[1]((5)/(6)),[2]cos(x),[3]log(((10)/(5)))/l*o*g}(2)=1,[4]b*r*(:0:1)=,
32,1061BN,,,Q03---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[1]na,[2]na,[3]na,[4]na,
33,0044BV,,,Q03---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[1]na,[2]na,[3]na,[4]na,
34,1072MF,,,Q03---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[1]na,[2]na,[3]na,[4]na,
35,3042MF,,,Q03---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[1]na,[2]na,[3]na,[4]na,
36,3072MF,0710,12:24:3,Q03---,[1]= fr(5:6),,[2]y'= cos(x),,[3]=log(2:2)=1,,[4]=br(:0:1)=,,[1]((5)/(6)),[2]cos(x),[3]log(2)/l*o*g}(2)=1,[4]b*r*(:0:1)=,
37,3118MF,,,Q03---,[1]na,0,[2]na,0,[3]na,0,[4]na,0,[1]na,[2]na,[3]na,[4]na,
