CA,2024,0724,,Q03---,[1],___,[2],___,[3],___,[1];1;,[2];1;,[3];1;,
1,0001AC,0724,11:50:42,Q03---,[1]Cinderellaについて広く学べた。,,[2]もう少し反復作業時間があれば、授業時間内に慣れることができたと思う。,,[3]最低限の解説や手順は配布資料にあってほしいです。,,[1]C*i*n*d*e*r*e*l*l*aについて広く学べた。,[2]もう少し反復作業時間があれば、授業時間内に慣れることができたと思う。,[3]最低限の解説や手順は配布資料にあってほしいです。,
2,0005AH,0724,12:2:52,Q03---,[1]環境構築から実際に作図するところまでしっかりと行うことができた,,[2]初めてKeTCindyなどを使ったが、図をコードで書いてボタンひとつでpdfやhtmlに出力できてとてもすごいし便利なものだと思った。,,[3]説明が早かったりするところがあって着いていくのが大変な部分もあった。,,[1]環境構築から実際に作図するところまでしっかりと行うことができた,[2]初めてK*e*T*C*i*n*d*yなどを使ったが、図をコードで書いてボタンひとつでp*d*fやh*t*m*lに出力できてとてもすごいし便利なものだと思った。,[3]説明が早かったりするところがあって着いていくのが大変な部分もあった。,
3,0013AH,,,Q03---,[1]na,0,[2]na,0,[3]na,0,[1]na,[2]na,[3]na,
4,0028AH,0725,0:13:14,Q03---新しいことにチャレンジすることができ，同時に非常にやりがいを感じました．,[1]集中して課題に取り組むことができ，授業もわかりやすかったので非常に満足した時間を過ごすことができました．,,[2]わからないところも丁寧に教えていただきありがとうございました．今後も使える場面がありましたら積極的に活用していきたいと思います．半期という短い時間ではありましたがありがとうございました．,,[3]特になし,,[1]集中して課題に取り組むことができ，授業もわかりやすかったので非常に満足した時間を過ごすことができました．,[2]わからないところも丁寧に教えていただきありがとうございました．今後も使える場面がありましたら積極的に活用していきたいと思います．半期という短い時間ではありましたがありがとうございました．,[3]特になし,
5,0034AH,,,Q03---,[1]na,0,[2]na,0,[3]na,0,[1]na,[2]na,[3]na,
6,0047AH,,,Q03---,[1]na,0,[2]na,0,[3]na,0,[1]na,[2]na,[3]na,
7,0048AH,,,Q03---,[1]na,0,[2]na,0,[3]na,0,[1]na,[2]na,[3]na,
8,0050AH,,,Q03---,[1]na,0,[2]na,0,[3]na,0,[1]na,[2]na,[3]na,
9,0055AH,0724,11:57:34,Q03---,[1]PCで新しいことができて良かった,,[2]丁寧に説明してくれたので難しい作業もなんとかできました,,[3]最初のインストールが難しかったのでもう少し時間をかけて説明した方が良いのではないかと思った,,[1]P*Cで新しいことができて良かった,[2]丁寧に説明してくれたので難しい作業もなんとかできました,[3]最初のインストールが難しかったのでもう少し時間をかけて説明した方が良いのではないかと思った,
10,0059AH,0724,12:8:8,Q03---,[1]先生の助けにより、アプリのインストールなど順調に進めることができた。,,[2]わかりやすく、わからないところもすぐに質問できる環境でとてもやりやすかった。,,[3]コードを動かす際は、半面表示などに画面を分割して必ず表示してほしいと感じる。//おっしゃった後すぐに画面が変わってしまうためについていけないことが多々あった。,,[1]先生の助けにより、アプリのインストールなど順調に進めることができた。,[2]わかりやすく、わからないところもすぐに質問できる環境でとてもやりやすかった。,[3]コードを動かす際は、半面表示などに画面を分割して必ず表示してほしいと感じる。//おっしゃった後すぐに画面が変わってしまうためについていけないことが多々あった。,
11,0061AH,,,Q03---,[1]na,0,[2]na,0,[3]na,0,[1]na,[2]na,[3]na,
12,0064AH,0724,12:39:48,Q03---,[1]ソフトの使い方を理解できるようになった,,[2]使ったことがないソフトを使い，やり方を学ぶことができ良い機会になった,,[3]特になし,,[1]ソフトの使い方を理解できるようになった,[2]使ったことがないソフトを使い，やり方を学ぶことができ良い機会になった,[3]特になし,
13,0070AH,,,Q03---,[1]na,0,[2]na,0,[3]na,0,[1]na,[2]na,[3]na,
14,0084AH,0724,12:24:20,Q03---,[1]先生のご指導のもと作成できる程度まで達成,,[2]初めてプログラミングのようなことをやったので面白かった。かなり難しかったが、KeTCindyを使いこなせるようになると利便性が向上すると感じた。,,[3]windowsでやった場合の画面が見たかった,,[1]先生のご指導のもと作成できる程度まで達成,[2]初めてプログラミングのようなことをやったので面白かった。かなり難しかったが、K*e*T*C*i*n*d*yを使いこなせるようになると利便性が向上すると感じた。,[3]w*i*n*d*o*w*sでやった場合の画面が見たかった,
